,alginate,,alg+Ac,,AC,,a1,a2,a3,a4,a5,a6,a7,a8
4088,68.675775,,72.698242,,64.519005,,70.312775,62.053153,63.267693,72.959566,66.948125,63.222277,42.139457,37.4799
4086,68.665287,,72.692511,,64.520114,,70.30918,62.061316,63.246183,72.965011,66.926043,63.204031,42.12322,37.491638
4084,68.658637,,72.689277,,64.531067,,70.305557,62.067487,63.230329,72.970448,66.912489,63.193848,42.115134,37.528724
4082,68.651995,,72.686023,,64.548558,,70.307104,62.069678,63.214451,72.978388,66.905333,63.187729,42.109732,37.565616
4080,68.643446,,72.680237,,64.569283,,70.313815,62.067889,63.209888,72.991337,66.908818,63.195679,42.109739,37.627689
4078,68.634905,,72.674432,,64.589949,,70.323085,62.062119,63.208122,73.009291,66.916572,63.211698,42.117876,37.689486
4076,68.626372,,72.666098,,64.603983,,70.334911,62.04839,63.209151,73.029739,66.92647,63.235789,42.128683,37.700442
4074,68.619761,,72.652727,,64.608111,,70.346694,62.032668,63.207308,73.050171,66.93427,63.26395,42.139434,37.66082
4072,68.613159,,72.636835,,64.602347,,70.348058,62.008983,63.202598,73.068083,66.935732,63.292178,42.150132,37.570886
4070,68.608478,,72.613406,,64.583426,,70.346794,61.985294,63.195024,73.083476,66.928741,63.318473,42.15806,37.4309
4068,68.603805,,72.589973,,64.561208,,70.337722,61.959611,63.181763,73.096353,66.915421,63.33389,42.165942,37.241125
4066,68.597226,,72.564028,,64.532419,,70.326033,61.935917,63.168473,73.106717,66.895776,63.35433,42.176499,37.026888
4064,68.588742,,72.538079,,64.506897,,70.30655,61.914213,63.152332,73.112068,66.87193,63.37091,42.187015,36.838371
4062,68.578352,,72.517136,,64.484635,,70.289638,61.894503,63.138987,73.112409,66.848122,63.383623,42.200205,36.62548
4060,68.566059,,72.503694,,64.472172,,70.275294,61.874796,63.128434,73.105246,66.834943,63.386456,42.213354,36.488104
4058,68.553775,,72.500248,,64.469491,,70.263514,61.857087,63.120669,73.090585,66.830268,63.383406,42.223754,36.376065
4056,68.539587,,72.506786,,64.479844,,70.264635,61.837394,63.118506,73.063433,66.84468,63.372466,42.234122,36.338948
4054,68.529235,,72.523294,,64.503208,,70.268304,61.817708,63.119119,73.036297,66.865467,63.35563,42.239041,36.301933
4052,68.520805,,72.544764,,64.536297,,70.274518,61.800025,63.125321,73.014173,66.890508,63.332892,42.235815,36.265024
4050,68.516208,,72.56869,,64.57583,,70.283272,61.786341,63.131473,73.00455,66.911338,63.310259,42.221752,36.178764
4048,68.517355,,72.592572,,64.621797,,70.289403,61.774665,63.137576,73.009913,66.921612,63.287724,42.196873,36.01872
4046,68.520421,,72.611417,,64.667668,,70.290332,61.765,63.140818,73.027752,66.921338,63.269294,42.166605,35.859206
4044,68.531142,,72.62523,,64.706925,,70.291223,61.759342,63.138393,73.055561,66.906293,63.252959,42.133659,35.700223
4042,68.541867,,72.634017,,64.73958,,70.286922,61.753705,63.133117,73.085849,66.884942,63.240722,42.103446,35.664582
4040,68.556421,,72.63529,,64.75588,,70.282588,61.752082,63.119379,73.111131,66.853061,63.230573,42.078663,35.702623
4038,68.567158,,72.631551,,64.762357,,70.27822,61.748489,63.105609,73.126429,66.819112,63.226522,42.059304,35.862936
4036,68.574079,,72.622806,,64.755775,,70.276392,61.742928,63.091808,73.131749,66.787321,63.226559,42.048059,36.120469
4034,68.575273,,72.61404,,64.739405,,70.274529,61.735398,63.083582,73.119629,66.7598,63.22667,42.036833,36.401545
4032,68.568833,,72.602765,,64.716508,,70.275201,61.7259,63.080923,73.090083,66.742885,63.232869,42.031016,36.730406
4030,68.55667,,72.596449,,64.696831,,70.280976,61.720425,63.086622,73.053087,66.736569,63.237128,42.030602,37.009549
4028,68.542608,,72.592598,,64.680367,,70.286707,61.720972,63.106268,73.00616,66.738735,63.241449,42.032895,37.28778
4026,68.528556,,72.591209,,64.673593,,70.294964,61.731541,63.134241,72.966728,66.749379,63.24382,42.037892,37.443928
4024,68.514515,,72.594765,,64.673252,,70.303174,61.754136,63.167735,72.927323,66.764275,63.244237,42.04828,37.5028
4022,68.504305,,72.595805,,64.68581,,70.308772,61.778775,63.203943,72.887944,66.78131,63.236671,42.055993,37.489038
4020,68.496014,,72.596816,,64.701535,,70.314325,61.80546,63.234482,72.846106,66.796263,63.223123,42.058353,37.37889
4018,68.493461,,72.595316,,64.717188,,70.314705,61.828198,63.25098,72.801811,66.804918,63.201577,42.05537,37.245062
4016,68.494736,,72.593788,,64.732768,,70.312481,61.842991,63.25625,72.757547,66.809387,63.176043,42.049738,37.087676
4014,68.501745,,72.597194,,64.741813,,70.305095,61.847836,63.253098,72.720765,66.807564,63.156559,42.038782,36.930845
4012,68.510671,,72.605528,,64.747562,,70.292552,61.846729,63.244323,72.698907,66.801561,63.143121,42.027874,36.798528
4010,68.521513,,72.623741,,64.743566,,70.277419,61.837669,63.232721,72.701891,66.795596,63.147784,42.019694,36.738444
4008,68.53427,,72.646865,,64.736291,,70.262259,61.822652,63.223868,72.717286,66.787563,63.164523,42.01424,36.678604
4006,68.543216,,72.672419,,64.728965,,70.24707,61.801678,63.21219,72.750042,66.777463,63.189317,42.008835,36.666692
4004,68.550262,,72.690495,,64.72481,,70.236966,61.778746,63.203257,72.787745,66.767404,63.218147,42.003481,36.678676
4002,68.551591,,72.701102,,64.727038,,70.231941,61.753857,63.194283,72.825429,66.757386,63.242968,41.995509,36.69068
4000,68.547206,,72.704249,,64.729204,,70.23454,61.731015,63.188048,72.863097,66.749516,63.267796,41.987597,36.678982
3998,68.537107,,72.695,,64.737738,,70.237095,61.712225,63.18177,72.898269,66.743792,63.290614,41.985087,36.6437
3996,68.523205,,72.680784,,64.742986,,70.242157,61.699492,63.175447,72.933427,66.740215,63.309408,41.987974,36.561301
3994,68.505499,,72.659136,,64.744953,,70.249723,61.696828,63.16908,72.966093,66.742993,63.332981,41.996253,36.432016
3992,68.489714,,72.637475,,64.737222,,70.24959,61.694223,63.157119,72.991318,66.745808,63.345841,42.007252,36.303217
3990,68.47394,,72.615799,,64.723019,,70.244316,61.693682,63.145118,73.006635,66.744454,63.352897,42.018304,36.221979
3988,68.463899,,72.599046,,64.699145,,70.233908,61.687191,63.130306,73.012053,66.738933,63.356151,42.021422,36.188076
3986,68.459589,,72.587208,,64.668824,,70.218371,61.674748,63.107146,73.005107,66.727143,63.349557,42.019282,36.271672
3984,68.462914,,72.577814,,64.635267,,70.197714,61.662366,63.086726,72.985808,66.713294,63.333105,42.011895,36.401942
3982,68.473874,,72.57579,,64.601682,,70.174486,61.650047,63.069041,72.954169,66.697389,63.306782,41.996611,36.602057
3980,68.494371,,72.571272,,64.574468,,70.15632,61.643808,63.056855,72.915142,66.683632,63.270578,41.98142,36.80164
3978,68.520592,,72.571651,,64.553614,,70.140668,61.643654,63.050158,72.866264,66.674126,63.224481,41.966324,37.024014
3976,68.546818,,72.574459,,64.542303,,70.135148,61.651597,63.046178,72.819893,66.67307,63.18258,41.956637,37.152685
3974,68.571144,,72.584615,,64.540519,,70.137207,61.66363,63.047674,72.778496,66.678361,63.146886,41.952355,37.211335
3972,68.589759,,72.60211,,64.545053,,70.146835,61.679755,63.049114,72.749473,66.689995,63.129484,41.956125,37.130674
3970,68.602665,,72.629393,,64.555892,,70.161484,61.69797,63.04774,72.735283,66.707968,63.128362,41.965286,36.911349
3968,68.607959,,72.659079,,64.560271,,70.17861,61.712254,63.046313,72.733444,66.728078,63.13949,41.977183,36.71595
3966,68.609452,,72.688708,,64.558199,,70.193139,61.724613,63.044832,72.743946,66.748225,63.160854,41.994465,36.498166
3964,68.60905,,72.713367,,64.543317,,70.20254,61.731031,63.040544,72.764313,66.764209,63.180352,42.003884,36.373428
3962,68.608658,,72.735517,,64.522013,,70.204287,61.731505,63.038958,72.787142,66.778133,63.197978,42.013396,36.364343
3960,68.61399,,72.752707,,64.491116,,70.200921,61.730053,63.040072,72.809968,66.794195,63.197587,42.020359,36.355413
3958,68.62314,,72.764943,,64.46336,,70.19498,61.726675,63.041128,72.830327,66.812394,63.183197,42.030066,36.369603
3956,68.641818,,72.774683,,64.438739,,70.191526,61.725391,63.047628,72.843297,66.841122,63.144704,42.045162,36.338032
3954,68.668119,,72.779478,,64.423599,,70.195613,61.728216,63.059561,72.848884,66.87408,63.096216,42.057714,36.26091
3952,68.703945,,72.784234,,64.43062,,70.207231,61.743198,63.079666,72.852018,66.919658,63.047815,42.07037,36.1613
3950,68.749292,,72.784054,,64.453417,,70.228895,61.772358,63.110676,72.84778,66.969459,63.011609,42.080492,36.039306
